intervention,observations
leading_pedestrian_interval_post,6160
turn_traffic_calming_post,315
slow_zones_post,2856
signal_retiming_post,24591
speed_humps_post,4837
street_improvement_project_post,623
street_improvement_corridors_post,17829
enhanced_crossing_post,406
speed_limit_post,206535
