intersection_id,year,pedestrian_death_or_injury,total_death_or_injury,leading_pedestrian_interval_post,turn_traffic_calming_type,turn_traffic_calming_post,speed_limit_post,slow_zones_post,enhanced_crossing_post,signal_retiming_post,speed_humps_post,street_improvement_project_post,street_improvement_corridors_post,nyc_metro_pop,citywide_traffic_summonses,nyc_metro_dvmt,pop_per_sqmi,ntaname,boro_name,covid_2020,covid_pre_post,time
50079.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50079.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50079.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50079.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
10437.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
10437.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
10437.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
10437.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50081.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50081.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50081.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50081.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50083.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50083.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50083.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50083.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50084.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50084.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50084.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50084.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
10481.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
10481.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
10481.0,2015,0.0,1.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
10481.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50094.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50094.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50094.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50094.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50096.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50096.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50096.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50096.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50099.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50099.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50099.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50099.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50112.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50112.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50112.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50112.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50113.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50113.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50113.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50113.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50114.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50114.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50114.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50114.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50119.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50119.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50119.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50119.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
50121.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
50121.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
50121.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
50121.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
10462.0,2013,0.0,0.0,0,,0,0,0,0,0,0,0,0,18534000,12669,174795.0,334.64,Tottenville-Charleston,Staten Island,0,0,1
10462.0,2014,0.0,0.0,0,,0,1,0,0,0,0,0,0,18591000,16424,174436.0,355.3,Tottenville-Charleston,Staten Island,0,0,2
10462.0,2015,0.0,0.0,0,,0,1,0,0,0,0,0,0,18648000,16742,174283.0,355.3,Tottenville-Charleston,Staten Island,0,0,3
10462.0,2016,0.0,0.0,0,,0,1,0,0,0,0,0,0,18705000,14999,169579.0,355.3,Tottenville-Charleston,Staten Island,0,0,4
