masterid,x,y,lon,lat
"224",917777.746582046,121539.845031753,-74.2390123599997,40.50002464975
"226",917037.570983902,122319.613830611,-74.2416815102362,40.5021593922298
"227",917289.142028838,122385.148437545,-74.2407775668862,40.5023411738039
"228",917540.844238296,122450.341796905,-74.2398731436216,40.5025220125816
"229",917689.059204116,122917.900024429,-74.2393447878189,40.503806483526
"230",917792.887634277,122515.584594727,-74.2389674891125,40.5027029824829
"231",917725.984985366,122775.465820312,-74.2392106093591,40.5034158056713
"236",917052.278991729,123293.132202148,-74.2416382799894,40.5048316255897
"237",917235.749816895,123885.690002456,-74.2409843970483,40.5064594706397
"239",917304.15838626,123358.417419448,-74.2407331891302,40.5050127245889
"240",917561.044433594,123423.702819854,-74.2398100897914,40.5051938545731
"241",917646.923400894,123089.471191421,-74.2394979889064,40.5042770975153
"243",917563.124389648,123962.274414062,-74.2398079122821,40.5066721461978
"250",917086.301208526,124460.75781253,-74.2415275159478,40.5080367917726
"253",917892.106628433,124040.181213379,-74.2386256517831,40.5068884514142
"257",917200.68743898,125910.948425308,-74.2411305289514,40.5120181512253
"258",917316.189208999,124937.721984863,-74.240705532565,40.5093477037393
"259",917351.766601577,125719.131225616,-74.2405853086228,40.5114927901589
"260",917444.788024902,125779.770812988,-74.2402513765962,40.5116599349228
"263",917597.920837432,125883.530395538,-74.2397016893783,40.5119458864968
"267",917024.21478273,126653.696228027,-74.2417725497047,40.5140555155773
"269",917228.895996109,126872.554016143,-74.2410385984748,40.5146577862234
"270",917613.967407241,126821.65838626,-74.2396532113942,40.5145209875607
"272",917816.296386734,126065.954589844,-74.2389181359735,40.5124482433214
"274",917295.044189483,127692.139038101,-74.2408088035382,40.5169078880358
"276",917449.239990249,127040.417785674,-74.2402478002624,40.515120201342
"277",917534.850219741,127817.299438477,-74.2399475595243,40.5172532353615
"278",917732.868225113,127552.129394561,-74.2392327673256,40.5165268814878
"279",917787.2774048,127909.553222656,-74.2390405904197,40.5175083484667
"280",917833.018798843,126983.898986816,-74.238866998861,40.5149679489502
"281",917879.377014175,127356.828002959,-74.2387039283985,40.515991913959
"282",917943.514038086,127692.168395996,-74.2384765422159,40.5169128380281
"283",917942.232604995,127950.904602081,-74.2384836844292,40.5176230092975
"285",917369.75201416,127980.911438003,-74.2405429642592,40.5177010757729
"286",917455.444213897,128355.241210952,-74.2402384556913,40.5187291839484
"287",917637.689392105,128199.067199707,-74.2395814456023,40.5183018865697
"291",917674.564392105,129283.753234878,-74.2394594842094,40.5212794160628
"292",918031.138610855,121605.996398941,-74.2381018966354,40.500208116801
"295",918084.658813491,121410.537597656,-74.2379075472425,40.499672018674
"300",918480.510986373,121680.753601074,-74.236486830523,40.5004166524246
"301",918442.541809097,121829.801818877,-74.2366248030274,40.5008254800182
"306",918177.617797866,122083.019836441,-74.2375798587957,40.5015185470715
"307",918181.449829116,122874.970214859,-74.2375738029864,40.5036923285335
"311",918266.020385742,122537.795410171,-74.2372664158895,40.5027674771139
"315",918058.641784668,123357.393798828,-74.2380201159842,40.5050155741362
"316",918015.613037124,123543.811828643,-74.2381766666625,40.5055269349919
"317",918101.338439956,123185.888183609,-74.2378649074807,40.5045451423053
"323",918928.67602542,123782.218994156,-74.234895637072,40.5061880845111
"326",918264.254821792,124884.024597198,-74.2372956187301,40.509207414741
"327",918363.985595733,124184.924987823,-74.2369301721956,40.5072892611841
"330",918662.692382827,124852.623840347,-74.2358624744652,40.5091241793329
"331",918636.603210464,124956.501403823,-74.2359573011012,40.5094091104863
"332",918721.901611343,124609.15643312,-74.2356471942892,40.5084563453197
"334",918883.453002945,123963.40643312,-74.2350600067666,40.5066850764529
"335",918804.210998535,124278.100585967,-74.2353480023537,40.5075482677387
"337",918963.213439956,124794.260986358,-74.2347811952135,40.5089662004258
"339",918047.329406738,125312.143798843,-74.2380798988748,40.5103809041859
"344",918387.004028335,125945.485595718,-74.2368645162225,40.5121218332774
"345",918590.048217788,125141.442016602,-74.2361265130005,40.5099163926827
"346",918527.863220215,125396.480834961,-74.2363526164704,40.5106159649929
"347",918550.071228027,125303.288818389,-74.236271847561,40.5103603352336
"350",918656.741027847,125923.730407745,-74.235894249228,40.5120641173631
"351",918930.483825698,125986.778198257,-74.2349103957252,40.5122391906195
"352",918024.360412598,126259.80261232,-74.2381717663311,40.5129818740387
"354",918443.473632812,126583.939208999,-74.2366676378309,40.5138746845446
"356",918626.685241729,126703.03338626,-74.2360098898629,40.5142029319093
"357",918730.428405762,126770.129638687,-74.2356374353874,40.5143878648014
"358",918866.402587891,126232.850585967,-74.2351432273041,40.5129141401102
"359",918035.912231445,127140.371582031,-74.2381388312138,40.515398952323
"360",918108.293823257,127820.124206558,-74.2378851513076,40.5172652817852
"361",918223.792419448,127262.799194351,-74.2374643174371,40.5157363924578
"362",918300.941223159,127667.522827163,-74.2371907932486,40.5168478543931
"365",918528.43743898,127483.999633789,-74.236370808751,40.5163458065563
"367",918787.18359375,127278.731018081,-74.2354382358226,40.5157842964493
"372",918882.602417007,129148.510620147,-74.235113111109,40.520917183385
"376",919329.361022979,122226.083801284,-74.2334398671908,40.5019197298415
"386",919439.14080812,123987.806030273,-74.2330619801515,40.5067561242045
"388",919003.498840332,124683.168640137,-74.2346352533923,40.5086615694786
"389",919216.697204605,124865.684814468,-74.2338703192048,40.50916410636
"390",919393.422424316,124162.835021988,-74.2332280599892,40.5072362113713
"391",919261.135986328,124688.198242188,-74.2337088079895,40.5086772652284
"395",919071.477600098,125430.204589874,-74.234397982263,40.5107125395855
"396",919159.233398438,125085.330017105,-74.2340790781291,40.5097665690872
"398",919493.402587906,125739.445983917,-74.2328836001171,40.5115644368237
"400",919542.867797881,125544.30859375,-74.2327038453762,40.511029182927
"405",919887.289611831,125831.994995117,-74.2314679536597,40.5118213316827
"406",919907.624206573,125751.572021484,-74.2313940605827,40.5116007335
"408",919841.099182144,126046.794189468,-74.2316361104683,40.5124105791346
"410",919027.714599639,127011.41198732,-74.2345705912243,40.5150523284414
"415",919596.135437042,127187.888000503,-74.2325279719601,40.5155408808959
"416",919575.925415039,127296.618042022,-74.2326016954405,40.515839176643
"417",919515.111816421,127477.989196792,-74.232822145561,40.5163365620687
"418",919659.501403838,127665.055603027,-74.2323046281068,40.5168510754963
"419",919857.936035186,127913.073608428,-74.231593304576,40.5175332793165
"423",919213.865783721,129069.547607452,-74.2339208720239,40.5207028794943
"445",917731.559020996,130649.364013687,-74.2392679025889,40.5250281792838
"447",917732.546630859,130779.846008331,-74.2392656321397,40.5253863343084
"448",916902.460815445,131876.460021988,-74.2422623742448,40.5283900629792
"453",917822.372619629,133462.714416534,-74.2389688530341,40.5327509556039
"455",917676.220397964,134374.609985352,-74.2395035923468,40.5352528337531
"457",917734.551391616,134907.905212417,-74.2392989849105,40.5367170614641
"463",918964.647216812,131429.670837432,-74.234840010646,40.5271791286175
"464",918973.390625015,131569.014221221,-74.2348099031989,40.5275616633471
"469",918463.985412613,133891.647399917,-74.2366648750427,40.5339330734926
"473",918729.549194351,133843.186218262,-74.2357090461054,40.5338020224592
"474",918281.344604522,134270.557434112,-74.2373256143585,40.5349717506416
"475",918253.450988784,134836.29119873,-74.2374314791069,40.5365243708158
"476",918330.271789551,134709.782226562,-74.237153875086,40.5361776998396
"477",918676.812988296,134206.978027359,-74.2359022875289,40.5348001697564
"480",918291.803405762,135085.897827163,-74.237295934401,40.5372097769935
"482",918265.524597183,135502.172241211,-74.2373945351029,40.5383521725728
"483",918242.539001495,135818.441406265,-74.2374803155018,40.5392200978572
"485",918755.950012222,135642.995605469,-74.2356314867107,40.5387423394122
"487",918229.59942627,136521.78302002,-74.2375337307649,40.5411505349404
